mint,mintLabel
http://nomisma.org/id/amphipolis,Amphipolis
http://nomisma.org/id/uranopolis,Uranopolis
http://nomisma.org/id/aegae_macedonia,"Aegae, Macedon"
http://nomisma.org/id/corinth,Corinth
http://nomisma.org/id/pella_macedon,Pella
http://nomisma.org/id/mesembria,Mesembria
http://nomisma.org/id/odessus,Odessus
http://nomisma.org/id/heracleia_pontica,Heracleia Pontica
http://nomisma.org/id/lampsacus,Lampsacus
http://nomisma.org/id/parium,Parium
http://nomisma.org/id/abydus,Abydus
http://nomisma.org/id/alexandreia_troas,Alexandreia Troas
http://nomisma.org/id/temnus,Temnus
http://nomisma.org/id/mytilene,Mytilene
http://nomisma.org/id/ephesus,Ephesus
http://nomisma.org/id/erythrae,Erythrae
http://nomisma.org/id/magnesia_ad_maeandrum,Magnesia ad Maeandrum
http://nomisma.org/id/miletus,Miletus
http://nomisma.org/id/mylasa,Mylasa
http://nomisma.org/id/phocaea,Phocaea
http://nomisma.org/id/priene,Priene
http://nomisma.org/id/smyrna,Smyrna
http://nomisma.org/id/chios,Chios
http://nomisma.org/id/samos,Samos
http://nomisma.org/id/alabanda,Alabanda
http://nomisma.org/id/rhodes,Rhodes
http://nomisma.org/id/sardes,Sardis
http://nomisma.org/id/uncertain_value,Uncertain value
http://nomisma.org/id/phaselis,Phaselis
http://nomisma.org/id/aspendus,Aspendus
http://nomisma.org/id/perge,Perge
http://nomisma.org/id/termessus_major,Termessus
http://nomisma.org/id/tarsus,Tarsus
http://nomisma.org/id/citium,Citium
http://nomisma.org/id/paphus,Paphos
http://nomisma.org/id/salamis_cyprus,Salamis
http://nomisma.org/id/damascus,Damascus
http://nomisma.org/id/myriandrus,Myriandrus
http://nomisma.org/id/ace_ptolemais,Ptolemais-Ake
http://nomisma.org/id/aradus,Aradus
http://nomisma.org/id/byblus,Byblus
http://nomisma.org/id/sidon,Sidon
http://nomisma.org/id/tyre,Tyre
http://nomisma.org/id/babylon,Babylon
http://nomisma.org/id/susa,Susa
http://nomisma.org/id/ecbatana,Ecbatana
http://nomisma.org/id/alexandreia_egypt,Alexandria
http://nomisma.org/id/memphis,Memphis
http://nomisma.org/id/cyrene,Cyrene
http://nomisma.org/id/argos_argolis,Argos
http://nomisma.org/id/nisyros,Nisyros
http://nomisma.org/id/side,Side
http://nomisma.org/id/curium,Curium
http://nomisma.org/id/carrhae,Carrhae
http://nomisma.org/id/sillyum,Sillyum
http://nomisma.org/id/seleuceia_ad_tigrim,Seleuceia ad Tigrim
http://nomisma.org/id/pergamum,Pergamum
http://nomisma.org/id/clazomenae,Clazomenae
http://nomisma.org/id/istrus,Istrus
http://nomisma.org/id/sestus,Sestos
http://nomisma.org/id/lysimachia,Lysimachia
http://nomisma.org/id/callatis,Callatis
http://nomisma.org/id/cyzicus,Cyzicus
http://nomisma.org/id/cabyle,Cabyle
http://nomisma.org/id/carne,Carne
http://nomisma.org/id/sicyon,Sicyon
http://nomisma.org/id/megalopolis,Megalopolis
http://nomisma.org/id/assus,Assus
http://nomisma.org/id/myrina_aeolis,Myrina
http://nomisma.org/id/cyme_aeolis,Cyme
http://nomisma.org/id/methymna,Methymna
http://nomisma.org/id/colophon,Colophon
http://nomisma.org/id/cos,Cos
http://nomisma.org/id/gabala,Gabala
http://nomisma.org/id/sinope,Sinope
http://nomisma.org/id/rome,Rome
http://nomisma.org/id/narbo,Narbo
http://nomisma.org/id/metapontum,Metapontum
http://nomisma.org/id/apollonia_mordiaeum,Apollonia Mordiaeum
http://nomisma.org/id/italy_southeast_rrc,Italy (Southeast)
